V1,V2,V3,parasit,lat,bio4,bio8,bio13,bio15,V4
SUPER_3,153247,3,0.07848665472438132,0.013295927800285027,0.28795509348104836,0.2347641188817597,0.19777493248512842,0.31686157952806615,1
SUPER_3,153183,3,0.5787730878263916,0.263353229993395,0.18484175137825362,0.6183636421234439,0.06863891857930335,0.5888562137867912,2
SUPER_3,207041,3,0.7844615947344029,0.5487631840241898,0.44964792133991577,0.547304175549129,0.7369055414012569,0.8550551092153365,3
SUPER_3,254961,3,0.1253729824727987,0.9600554113736947,0.3929748228842608,0.7631331029377789,0.5745559793931012,0.0026910181667442025,4
SUPER_3,257315,3,0.08946783894786095,0.5290260021710532,0.059159537452651685,0.6785173044306271,0.06636786527024016,7.902005923684634e-4,5
SUPER_3,276013,3,0.6082602335352111,0.6836085912646139,0.5716408699132866,0.8629081811175098,0.9247375832374136,0.712324236722469,6
SUPER_3,277982,3,0.1906593311893698,0.2853581548595902,0.20829558070863863,0.18042724958179834,0.29185838001089237,0.0812876548279138,7
SUPER_3,277919,3,0.24442159600717642,0.36606076923554287,0.207270091845416,0.5930369330248019,0.4576194608413816,0.7095383942905298,8
SUPER_3,317544,3,0.16339644635795508,0.6580552347725932,0.10249677792430917,0.4328753867671173,0.5975795691770658,0.3933308350769161,9
SUPER_3,349417,3,0.5225301798903106,0.7180993814188182,0.9551663727833734,0.5717040624927512,0.4499265566692166,0.4924570683946196,10
SUPER_3,357531,3,0.10906126821679382,0.9124723638814577,0.5824771185200809,0.3777072044688313,0.4736120157853392,0.6043822843138296,11
SUPER_3,385176,3,0.7633454198364891,0.6443982722613966,0.7165137180656849,0.76813144825661706,0.6008445683649625,0.7246392960867132,12
SUPER_3,411615,3,0.09854236522027612,0.03460839863443821,0.3071764279240567,0.012550538062604187,0.2095135343145167,0.7940858683870652,13
SUPER_3,412303,3,0.722784217219622,0.20284418694909784,0.5560437983500226,0.6961261873871766,0.4245240470262503,0.2925528659378058,14
SUPER_3,427609,3,0.426385909147854,0.8516950110768817,0.020189677405431903,0.8507839579482311,0.18030393869099648,0.42651740011776634,15
SUPER_3,483005,3,0.7851116854708774,0.04052287576360726,0.05054486020114986,0.40570526758060754,0.14360282815157546,0.1009609882283669,16
SUPER_3,497862,3,0.6071276050201032,0.5727027157237281,0.036635306018639256,0.947679845063994,0.10231011079983865,0.1304896071784858,17
SUPER_3,548527,3,0.8400914136485129,0.7952503388577447,0.7635754408690616,0.14241452766180854,0.9212228649955662,0.8748780113012382,18
SUPER_3,569755,3,0.4775278926022175,0.4583790839973274,0.17462780228763058,0.7022195629032213,0.7415329375444221,0.44902627720802635,19
SUPER_3,577657,3,0.684770725259335,0.1939812068094124,0.35876618284469053,0.8414934306891331,0.18795012300730807,0.14275977342330004,20
SUPER_3,589332,3,0.08170417351256076,0.8618066579640125,0.5304255754153178,0.4918359158316194,0.9972097497928087,0.24602848635914326,21
SUPER_3,637231,3,0.13414158300651405,0.7448200141269641,0.6888306203306932,0.35823302866795126,0.15820686785971452,0.5716782433080027,22
SUPER_3,652171,3,0.9658658064077312,0.4966940031234889,0.7947031230506608,0.40418778834229724,0.829765502937601,0.643175026913453,23
SUPER_3,666230,3,0.1394936267796267,0.8459303461396815,0.8400556609585548,0.6364758305565562,0.7524678668173974,0.03398480343230855,24
SUPER_3,897403,3,0.7244755879159618,0.020436421622744852,0.2582843683209378,0.610652513316272,0.851788738561287,0.08712200756029136,25
SUPER_3,897360,3,0.045104509483295946,0.6060417045470681,0.8736154320542163,0.007057064853419823,0.5154364804236177,0.9046752882747395,26
